SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
sample1_user	ADHFE1	alcohol dehydrogenase iron containing 1	Pyruvate Metabolism	0.000728758	0.996258
sample1_user	ALDH7A1	aldehyde dehydrogenase 7 family member A1	Pyruvate Metabolism	0.167686	0.150905
sample1_user	DLAT	dihydrolipoamide S-acetyltransferase	Pyruvate Metabolism	0.234474	0.0913795
sample1_user	HAGH	hydroxyacylglutathione hydrolase	Pyruvate Metabolism	-0.162279	0.212678
sample1_user	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	Pyruvate Metabolism	-0.033807	0.83544
sample1_user	L2HGDH	L-2-hydroxyglutarate dehydrogenase	Pyruvate Metabolism	0.154698	0.190505
sample1_user	LDHD	lactate dehydrogenase D	Pyruvate Metabolism	-0.264808	0.0961617
sample1_user	ME1	malic enzyme 1	Pyruvate Metabolism	0.294509	0.126623
sample1_user	ME2	malic enzyme 2	Pyruvate Metabolism	0.196945	0.178129
sample1_user	ME3	malic enzyme 3	Pyruvate Metabolism	0.200775	0.288796
sample1_user	MPC1	mitochondrial pyruvate carrier 1	Pyruvate Metabolism	0.278255	0.0186467
sample1_user	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	Pyruvate Metabolism	0.101956	0.760869
sample1_user	PDHA1	pyruvate dehydrogenase E1 alpha 1 subunit	Pyruvate Metabolism	-0.0439983	0.656323
sample1_user	PDHB	pyruvate dehydrogenase E1 beta subunit	Pyruvate Metabolism	0.133729	0.0987402
sample1_user	PDK1	pyruvate dehydrogenase kinase 1	Pyruvate Metabolism	-0.0614857	0.687243
sample1_user	PDK2	pyruvate dehydrogenase kinase 2	Pyruvate Metabolism	-0.0883313	0.465215
sample1_user	PDK3	pyruvate dehydrogenase kinase 3	Pyruvate Metabolism	0.224808	0.330225
sample1_user	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1	Pyruvate Metabolism	0.433623	0.0420169
sample1_user	PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	Pyruvate Metabolism	-0.163275	0.479441
sample1_user	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	Pyruvate Metabolism	0.102755	0.495666
sample1_user	CAT	catalase	ROS Defense	0.0106173	0.954532
sample1_user	GCLC	glutamate-cysteine ligase catalytic subunit	ROS Defense	0.0479797	0.775568
sample1_user	GCLM	glutamate-cysteine ligase modifier subunit	ROS Defense	0.0720819	0.61176
sample1_user	GLRX2	glutaredoxin 2	ROS Defense	0.30104	0.0982986
sample1_user	GPX4	glutathione peroxidase 4	ROS Defense	-0.163916	0.21286
sample1_user	GSR	glutathione-disulfide reductase	ROS Defense	0.515839	0.00125404
sample1_user	GSS	glutathione synthetase	ROS Defense	-0.0299188	0.898454
sample1_user	GSTA4	glutathione S-transferase alpha 4	ROS Defense	-0.17353	0.309372
sample1_user	MGST1	microsomal glutathione S-transferase 1	ROS Defense	0.159056	0.919612
sample1_user	MPV17	mitochondrial inner membrane protein MPV17	ROS Defense	0.311656	0.0273912
sample1_user	MPV17L	MPV17 mitochondrial inner membrane protein like	ROS Defense	0.422736	0.245467
sample1_user	MSRA	methionine sulfoxide reductase A	ROS Defense	0.129874	0.370233
sample1_user	MSRB3	methionine sulfoxide reductase B3	ROS Defense	0.102063	0.291534
sample1_user	NUDT2	nudix hydrolase 2	ROS Defense	-0.104436	0.329765
sample1_user	OGG1	8-oxoguanine DNA glycosylase	ROS Defense	0.223993	0.406645
sample1_user	OXR1	oxidation resistance 1	ROS Defense	0.14959	0.304487
sample1_user	PARK7	Parkinsonism associated deglycase	ROS Defense	0.0330416	0.772912
sample1_user	PRDX1	peroxiredoxin 1	ROS Defense	-0.000624429	0.996153
sample1_user	PRDX3	peroxiredoxin 3	ROS Defense	0.0724772	0.515315
sample1_user	PRDX5	peroxiredoxin 5	ROS Defense	0.064322	0.495447
sample1_user	SOD1	superoxide dismutase 1	ROS Defense	-0.056724	0.620725
sample1_user	SOD2	superoxide dismutase 2	ROS Defense	-0.204199	0.0457331
sample1_user	TXN	thioredoxin	ROS Defense	-0.0649176	0.64288
sample1_user	TXN2	thioredoxin 2	ROS Defense	0.142021	0.217291
sample1_user	TXNRD1	thioredoxin reductase 1	ROS Defense	-0.183615	0.13035
sample1_user	TXNRD2	thioredoxin reductase 2	ROS Defense	-0.175964	0.395974
sample1_user	ALKBH1	alkB homolog 1, histone H2A dioxygenase	Replication & Transcription	-0.146108	0.307109
sample1_user	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	Replication & Transcription	0.0610427	0.609572
sample1_user	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	Replication & Transcription	0.0868922	0.556797
sample1_user	CMPK2	cytidine/uridine monophosphate kinase 2	Replication & Transcription	0.277744	0.278821
sample1_user	DGUOK	deoxyguanosine kinase	Replication & Transcription	0.345515	0.160115
sample1_user	DHX29	DExH-box helicase 29	Replication & Transcription	0.221149	0.20358
sample1_user	DHX30	DExH-box helicase 30	Replication & Transcription	-0.0202878	0.817365
sample1_user	ENDOG	endonuclease G	Replication & Transcription	-0.0975732	0.586647
sample1_user	EXOG	exo/endonuclease G	Replication & Transcription	-0.197902	0.181739
sample1_user	FEN1	flap structure-specific endonuclease 1	Replication & Transcription	0.122981	0.570193
sample1_user	LIG1	DNA ligase 1	Replication & Transcription	-0.213393	0.492226
sample1_user	LIG3	DNA ligase 3	Replication & Transcription	0.0441277	0.761711
sample1_user	MGME1	mitochondrial genome maintenance exonuclease 1	Replication & Transcription	0.28301	0.177624
sample1_user	MSH5	mutS homolog 5	Replication & Transcription	-0.192134	0.390647
sample1_user	MTERF1	mitochondrial transcription termination factor 1	Replication & Transcription	0.0843094	0.648486
sample1_user	MTERF2	mitochondrial transcription termination factor 2	Replication & Transcription	0.030626	0.831652
sample1_user	MUTYH	mutY DNA glycosylase	Replication & Transcription	0.429274	0.0422938
sample1_user	NFE2L2	nuclear factor, erythroid 2 like 2	Replication & Transcription	-0.255196	0.179074
sample1_user	NIF3L1	NGG1 interacting factor 3 like 1	Replication & Transcription	0.342683	0.00919933
sample1_user	NSUN2	NOP2/Sun RNA methyltransferase 2	Replication & Transcription	0.0731296	0.57925
sample1_user	NT5M	5',3'-nucleotidase, mitochondrial	Replication & Transcription	-0.0223812	0.822366
sample1_user	NTHL1	nth like DNA glycosylase 1	Replication & Transcription	0.41928	0.0119569
sample1_user	POLDIP2	DNA polymerase delta interacting protein 2	Replication & Transcription	0.103463	0.211307
sample1_user	POLG	DNA polymerase gamma, catalytic subunit	Replication & Transcription	0.070407	0.590352
sample1_user	POLRMT	RNA polymerase mitochondrial	Replication & Transcription	0.00214925	0.981814
sample1_user	RAD51	RAD51 recombinase	Replication & Transcription	-0.112857	0.629212
sample1_user	RNASEH1	ribonuclease H1	Replication & Transcription	0.101991	0.444841
sample1_user	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	Replication & Transcription	0.49306	0.00705561
sample1_user	SSBP1	single stranded DNA binding protein 1	Replication & Transcription	0.694363	0.00187106
sample1_user	SUPV3L1	Suv3 like RNA helicase	Replication & Transcription	-0.475412	0.000674401
sample1_user	TEFM	transcription elongation factor, mitochondrial	Replication & Transcription	0.0601985	0.636962
sample1_user	TFB1M	transcription factor B1, mitochondrial	Replication & Transcription	-0.429573	0.0278079
sample1_user	TFB2M	transcription factor B2, mitochondrial	Replication & Transcription	0.119227	0.390121
sample1_user	TK2	thymidine kinase 1	Replication & Transcription	-0.115514	0.207087
sample1_user	TOP1MT	DNA topoisomerase I mitochondrial	Replication & Transcription	0.737763	0.0915407
sample1_user	TOP3A	DNA topoisomerase III alpha	Replication & Transcription	0.152072	0.185889
sample1_user	TRUB2	TruB pseudouridine synthase family member 2	Replication & Transcription	0.0696629	0.52103
sample1_user	TWNK	twinkle mtDNA helicase	Replication & Transcription	0.0875543	0.46891
sample1_user	UNG	uracil DNA glycosylase	Replication & Transcription	0.463117	0.007038
sample1_user	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	Replication & Transcription	-0.169717	0.229411
sample1_user	ARNT	aryl hydrocarbon receptor nuclear translocator	Transcription (nuclear)	0.0615233	0.654516
sample1_user	ATF4	activating transcription factor 4 	Transcription (nuclear)	-0.760798	0.0000133942
sample1_user	CREB1	cAMP responsive element binding protein 1	Transcription (nuclear)	0.0910716	0.595157
sample1_user	ESRRA	estrogen related receptor alpha	Transcription (nuclear)	-0.0530115	0.575658
sample1_user	FOXO3	forkhead box O3 	Transcription (nuclear)	0.22266	0.276624
sample1_user	GABPA	GA binding protein transcription factor subunit alpha	Transcription (nuclear)	0.255029	0.0871705
sample1_user	HIF1A	hypoxia inducible factor 1 subunit alpha 	Transcription (nuclear)	0.0198903	0.895879
sample1_user	MITF	melanocyte inducing transcription factor 	Transcription (nuclear)	0.0853291	0.559202
sample1_user	MYC	MYC proto-oncogene, bHLH transcription factor	Transcription (nuclear)	-0.769857	0.0187754
sample1_user	NRF1	nuclear respiratory factor 1	Transcription (nuclear)	-0.364743	0.0355217
sample1_user	PPARA	peroxisome proliferator activated receptor alpha	Transcription (nuclear)	0.408327	0.170241
sample1_user	PPARG	peroxisome proliferator activated receptor gamma	Transcription (nuclear)	-0.132531	0.5312
sample1_user	PPARGC1A	PPARG coactivator 1 alpha	Transcription (nuclear)	-0.553139	0.166404
sample1_user	PPARGC1B	PPARG coactivator 1 beta	Transcription (nuclear)	0.741726	0.0127828
sample1_user	PPRC1	PPARG related coactivator 1	Transcription (nuclear)	-0.312492	0.0558825
sample1_user	RELA	RELA proto-oncogene, NF-kB subunit 	Transcription (nuclear)	-0.127073	0.373668
sample1_user	SP1	Sp1 transcription factor	Transcription (nuclear)	0.431734	0.0528714
sample1_user	TFE3	transcription factor binding to IGHM enhancer 3	Transcription (nuclear)	0.0109869	0.913985
sample1_user	TFEB	transcription factor EB	Transcription (nuclear)	-0.201194	0.17432
sample1_user	TP53	tumor protein p53	Transcription (nuclear)	-0.353939	0.0889946
sample1_user	YAP1	Yes associated protein 1	Transcription (nuclear)	0.304077	0.0201764
sample1_user	YY1	YY1 transcription factor	Transcription (nuclear)	0.0817155	0.392806
sample1_user	ABCB10	ATP binding cassette subfamily B member 10	Transmembrane Transport	0.143808	0.259058
sample1_user	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Transmembrane Transport	-0.182407	0.26695
sample1_user	ABCB7	ATP binding cassette subfamily B member 7	Transmembrane Transport	-0.040482	0.723311
sample1_user	ABCB8	ATP binding cassette subfamily B member 8	Transmembrane Transport	0.0200612	0.8564
sample1_user	ABCD3	ATP binding cassette subfamily D member 3	Transmembrane Transport	-0.0047622	0.969426
sample1_user	ABCE1	ATP binding cassette subfamily E member 1	Transmembrane Transport	-0.153821	0.180766
sample1_user	ABCF2	ATP binding cassette subfamily F member 2	Transmembrane Transport	-0.101489	0.369465
sample1_user	FAM210B	family with sequence similarity 210 member B	Transmembrane Transport	0.0817574	0.561111
sample1_user	MRS2	magnesium transporter MRS2	Transmembrane Transport	0.219216	0.050471
sample1_user	NIPSNAP3A	nipsnap homolog 3A	Transmembrane Transport	0.512421	0.0213816
sample1_user	NIPSNAP3B	nipsnap homolog 3B	Transmembrane Transport	-0.367511	0.00417264
sample1_user	PRELID2	PRELI domain containing 2	Transmembrane Transport	0.373517	0.297334
sample1_user	SFXN1	sideroflexin 1	Transmembrane Transport	0.219501	0.404918
sample1_user	SFXN2	sideroflexin 2	Transmembrane Transport	-0.431574	0.119203
sample1_user	SFXN3	sideroflexin 3	Transmembrane Transport	0.203849	0.41741
sample1_user	SFXN4	sideroflexin 4	Transmembrane Transport	0.0394946	0.769002
sample1_user	SFXN5	sideroflexin 5	Transmembrane Transport	0.0870192	0.636938
sample1_user	VDAC1	voltage dependent anion channel 1	Transmembrane Transport	0.0426165	0.644565
sample1_user	VDAC2	voltage dependent anion channel 2	Transmembrane Transport	-0.00871221	0.919966
sample1_user	VDAC3	voltage dependent anion channel 3	Transmembrane Transport	-0.0690296	0.613551
sample1_user	ACO1	aconitase 1	Tricarboxylic Acid Cycle	0.440074	0.00232445
sample1_user	ACO2	aconitase 2	Tricarboxylic Acid Cycle	-0.00710073	0.946428
sample1_user	CS	citrate synthase	Tricarboxylic Acid Cycle	0.218125	0.0130085
sample1_user	DLD	dihydrolipoamide dehydrogenase	Tricarboxylic Acid Cycle	0.0028379	0.979835
sample1_user	DLST	dihydrolipoamide S-succinyltransferase	Tricarboxylic Acid Cycle	0.152655	0.0774443
sample1_user	FH	fumarate hydratase	Tricarboxylic Acid Cycle	0.108096	0.233951
sample1_user	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	Tricarboxylic Acid Cycle	0.255395	0.153447
sample1_user	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	Tricarboxylic Acid Cycle	0.0827695	0.323606
sample1_user	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	Tricarboxylic Acid Cycle	0.0366094	0.684369
sample1_user	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	Tricarboxylic Acid Cycle	-0.0895318	0.305764
sample1_user	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma	Tricarboxylic Acid Cycle	-0.119429	0.325317
sample1_user	MDH1	malate dehydrogenase 1	Tricarboxylic Acid Cycle	-0.160648	0.0739507
sample1_user	MDH2	malate dehydrogenase 2	Tricarboxylic Acid Cycle	-0.0264995	0.777264
sample1_user	NNT	nicotinamide nucleotide transhydrogenase	Tricarboxylic Acid Cycle	0.255466	0.121102
sample1_user	OGDH	oxoglutarate dehydrogenase	Tricarboxylic Acid Cycle	0.0065183	0.946205
sample1_user	OGDHL	oxoglutarate dehydrogenase like	Tricarboxylic Acid Cycle	-0.0771849	0.824089
sample1_user	PDHX	pyruvate dehydrogenase complex component X	Tricarboxylic Acid Cycle	0.096433	0.307916
sample1_user	PPTC7	PTC7 protein phosphatase homolog	Tricarboxylic Acid Cycle	-0.154112	0.350215
sample1_user	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	Tricarboxylic Acid Cycle	-0.152115	0.155217
sample1_user	SUCLG2	succinate-CoA ligase GDP-forming beta subunit	Tricarboxylic Acid Cycle	-0.300487	0.00275086
sample1_user	ATF5	activating transcription factor 5	UPRmt	0.0694377	0.711878
sample1_user	DDIT3	DNA damage inducible transcript 3	UPRmt	-1.06027	0.0000070748
sample1_user	KDM6B	lysine demethylase 6B	UPRmt	-0.405508	0.0440353
sample1_user	PHF8	PHD finger protein 8	UPRmt	0.186377	0.216728
sample1_user	SATB1	SATB homeobox 1	UPRmt	0.356008	0.026853
sample1_user	SATB2	SATB homeobox 2 	UPRmt	-0.739814	0.346397
sample1_user	UBL5	ubiquitin like 5 	UPRmt	0.190146	0.134949
sample1_user	COQ2	coenzyme Q2, polyprenyltransferase	Ubiquinone Biosynthesis	-0.0646006	0.577088
sample1_user	COQ3	coenzyme Q3, methyltransferase	Ubiquinone Biosynthesis	-0.160392	0.252127
sample1_user	COQ4	coenzyme Q4	Ubiquinone Biosynthesis	0.0974628	0.423634
sample1_user	COQ5	coenzyme Q5, methyltransferase	Ubiquinone Biosynthesis	0.0323526	0.754321
sample1_user	COQ6	coenzyme Q6, monooxygenase	Ubiquinone Biosynthesis	-0.0210907	0.835026
sample1_user	COQ7	coenzyme Q7, hydroxylase	Ubiquinone Biosynthesis	-0.317326	0.00589061
sample1_user	COQ9	coenzyme Q9	Ubiquinone Biosynthesis	-0.24413	0.0195448
sample1_user	PDSS1	decaprenyl diphosphate synthase subunit 1	Ubiquinone Biosynthesis	-0.209905	0.417461
sample1_user	PDSS2	decaprenyl diphosphate synthase subunit 2	Ubiquinone Biosynthesis	0.266864	0.0698571
sample1_user	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	Unknown	0.0659387	0.722035
sample1_user	HSDL1	hydroxysteroid dehydrogenase like 1	Unknown	-0.0417601	0.797519
sample1_user	PNKD	PNKD metallo-beta-lactamase domain containing	Unknown	0.163615	0.169765
sample1_user	RSAD1	radical S-adenosyl methionine domain containing 1	Unknown	-0.123352	0.495714
sample1_user	TMEM126A	transmembrane protein 126A	Unknown	0.272797	0.0895772
sample1_user	TMEM143	transmembrane protein 143	Unknown	-0.0849249	0.512922
sample2_user	AADAT	aminoadipate aminotransferase	Amino Acid Metabolism	0.446318	0.430615
sample2_user	AASS	aminoadipate-semialdehyde synthase	Amino Acid Metabolism	-0.244792	0.202996
sample2_user	ABAT	4-aminobutyrate aminotransferase	Amino Acid Metabolism	-0.352468	0.47526
sample2_user	ABHD10	abhydrolase domain containing 10	Amino Acid Metabolism	-0.0818173	0.398192
sample2_user	ABHD11	abhydrolase domain containing 11	Amino Acid Metabolism	0.0941864	0.366153
sample2_user	ABHD16A	abhydrolase domain containing 16A	Amino Acid Metabolism	-0.081994	0.441991
sample2_user	ACAT1	acetyl-CoA acetyltransferase 1	Amino Acid Metabolism	-0.190982	0.173545
sample2_user	ADO	2-aminoethanethiol dioxygenase	Amino Acid Metabolism	0.320001	0.0228978
sample2_user	ALDH18A1	aldehyde dehydrogenase 18 family member A1	Amino Acid Metabolism	0.197139	0.0888221
sample2_user	ALDH4A1	aldehyde dehydrogenase 4 family member A1	Amino Acid Metabolism	-0.380281	0.387682
sample2_user	ALDH5A1	aldehyde dehydrogenase 5 family member A1	Amino Acid Metabolism	0.225245	0.212033
sample2_user	ALDH6A1	aldehyde dehydrogenase 6 family member A1	Amino Acid Metabolism	-0.31792	0.0240051
sample2_user	AMT	aminomethyltransferase	Amino Acid Metabolism	-0.343996	0.0660239
sample2_user	ASS1	argininosuccinate synthase 1	Amino Acid Metabolism	0.0717	0.824624
sample2_user	AUH	AU RNA binding methylglutaconyl-CoA hydratase	Amino Acid Metabolism	-0.08424	0.438431
sample2_user	BCAT1	branched chain amino acid transaminase 1	Amino Acid Metabolism	1.03678	0.048821
sample2_user	BCAT2	branched chain amino acid transaminase 2	Amino Acid Metabolism	-0.412803	0.0136107
sample2_user	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	Amino Acid Metabolism	-0.0662877	0.478838
sample2_user	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	Amino Acid Metabolism	0.0623073	0.682376
sample2_user	BCKDK	branched chain ketoacid dehydrogenase kinase	Amino Acid Metabolism	0.162271	0.0465686
sample2_user	CKMT2	creatine kinase, mitochondrial 2	Amino Acid Metabolism	-0.0325456	0.84291
sample2_user	DBT	dihydrolipoamide branched chain transacylase E2	Amino Acid Metabolism	-0.0206462	0.877442
sample2_user	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	Amino Acid Metabolism	-0.423946	0.0534462
sample2_user	ETHE1	ETHE1 persulfide dioxygenase	Amino Acid Metabolism	0.0844346	0.549029
sample2_user	ETNPPL	ethanolamine-phosphate phospho-lyase	Amino Acid Metabolism	0.547132	0.0658798
sample2_user	FAHD1	fumarylacetoacetate hydrolase domain containing 1	Amino Acid Metabolism	-0.201835	0.222486
sample2_user	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Amino Acid Metabolism	-0.143824	0.227489
sample2_user	GATM	glycine amidinotransferase	Amino Acid Metabolism	-0.199329	0.493563
sample2_user	GCSH	glycine cleavage system protein H	Amino Acid Metabolism	0.450019	0.00195146
sample2_user	GLDC	glycine decarboxylase	Amino Acid Metabolism	-0.152274	0.754769
sample2_user	GLS	glutaminase	Amino Acid Metabolism	-0.190248	0.0889617
sample2_user	GLS2	glutaminase 2	Amino Acid Metabolism	0.398033	0.00739633
sample2_user	GLUL	glutamate-ammonia ligase	Amino Acid Metabolism	-0.820835	0.000193251
sample2_user	GOT2	glutamic-oxaloacetic transaminase 2	Amino Acid Metabolism	0.0285583	0.740143
sample2_user	GPT2	glutamic--pyruvic transaminase 2	Amino Acid Metabolism	0.0289279	0.82852
sample2_user	GSTZ1	glutathione S-transferase zeta 1	Amino Acid Metabolism	-0.37414	0.0617076
sample2_user	HIBADH	3-hydroxyisobutyrate dehydrogenase	Amino Acid Metabolism	-0.13631	0.170108
sample2_user	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	Amino Acid Metabolism	-0.311742	0.0423671
sample2_user	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Amino Acid Metabolism	0.0536824	0.624456
sample2_user	IVD	isovaleryl-CoA dehydrogenase	Amino Acid Metabolism	-0.0834888	0.409756
sample2_user	KYAT3	kynurenine aminotransferase 3	Amino Acid Metabolism	-0.153249	0.346538
sample2_user	LAP3	leucine aminopeptidase 3	Amino Acid Metabolism	0.0694721	0.594588
sample2_user	MAOA	monoamine oxidase A	Amino Acid Metabolism	0.0848077	0.915977
sample2_user	MAOB	monoamine oxidase B	Amino Acid Metabolism	-0.431712	0.181443
sample2_user	MCCC1	methylcrotonoyl-CoA carboxylase 1	Amino Acid Metabolism	-0.348017	0.0445646
sample2_user	MCCC2	methylcrotonoyl-CoA carboxylase 2	Amino Acid Metabolism	-0.327346	0.0535825
sample2_user	MCEE	methylmalonyl-CoA epimerase	Amino Acid Metabolism	0.445428	0.0011401
sample2_user	MMUT	methylmalonyl-CoA mutase	Amino Acid Metabolism	-0.269636	0.0177764
sample2_user	MPST	mercaptopyruvate sulfurtransferase	Amino Acid Metabolism	-0.0294451	0.815326
sample2_user	NADK2	NAD kinase 2, mitochondrial	Amino Acid Metabolism	-0.0449357	0.70376
sample2_user	NIT1	nitrilase 1	Amino Acid Metabolism	0.117414	0.459067
sample2_user	NIT2	nitrilase family member 2	Amino Acid Metabolism	0.0901714	0.619471
sample2_user	OAT	ornithine aminotransferase	Amino Acid Metabolism	-0.128359	0.308814
sample2_user	OXCT1	3-oxoacid CoA-transferase 1	Amino Acid Metabolism	-0.0283416	0.887196
sample2_user	OXCT2	3-oxoacid CoA-transferase 2	Amino Acid Metabolism	-0.480188	0.190736
sample2_user	PCCA	propionyl-CoA carboxylase subunit alpha	Amino Acid Metabolism	-0.144779	0.298219
sample2_user	PDF	peptide deformylase, mitochondrial	Amino Acid Metabolism	0.817184	0.0000575486
sample2_user	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	Amino Acid Metabolism	-0.0788523	0.715802
sample2_user	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	Amino Acid Metabolism	0.107075	0.643824
sample2_user	PYCR1	pyrroline-5-carboxylate reductase 1	Amino Acid Metabolism	0.15873	0.637097
sample2_user	PYCR2	pyrroline-5-carboxylate reductase 2	Amino Acid Metabolism	0.486452	0.0101951
sample2_user	QDPR	quinoid dihydropteridine reductase	Amino Acid Metabolism	0.0925562	0.397408
sample2_user	SQOR	sulfide quinone oxidoreductase	Amino Acid Metabolism	0.137171	0.360393
sample2_user	SUGCT	succinyl-CoA:glutarate-CoA transferase	Amino Acid Metabolism	-0.49568	0.0558299
sample2_user	SUOX	sulfite oxidase	Amino Acid Metabolism	-0.207818	0.156195
sample2_user	TST	thiosulfate sulfurtransferase	Amino Acid Metabolism	-0.452833	0.0216499
sample2_user	AIFM1	apoptosis inducing factor mitochondria associated 1	Apoptosis	-0.0927084	0.41719
sample2_user	AIFM2	apoptosis inducing factor mitochondria associated 2	Apoptosis	-0.063096	0.609658
sample2_user	AIFM3	apoptosis inducing factor mitochondria associated 3	Apoptosis	0.422776	0.354763
sample2_user	ALKBH7	alkB homolog 7	Apoptosis	0.0563247	0.57807
sample2_user	APAF1	apoptotic peptidase activating factor 1	Apoptosis	-0.331659	0.156214
sample2_user	ARMC10	armadillo repeat containing 10	Apoptosis	0.258521	0.0671646
sample2_user	BAD	BCL2 associated agonist of cell death	Apoptosis	0.717491	0.00124378
sample2_user	BAK1	BCL2 antagonist/killer 1	Apoptosis	0.34985	0.0300658
sample2_user	BAX	BCL2 associated X, apoptosis regulator	Apoptosis	0.320663	0.112065
sample2_user	BCL2	BCL2 apoptosis regulator	Apoptosis	0.062999	0.73275
sample2_user	BCL2L1	BCL2 like 1	Apoptosis	-0.376654	0.0361227
sample2_user	BCL2L11	BCL2 like 11	Apoptosis	0.143897	0.617218
sample2_user	BCL2L13	BCL2 like 13	Apoptosis	0.0167039	0.860851
sample2_user	BID	BH3 interacting domain death agonist	Apoptosis	0.138905	0.482744
sample2_user	BNIP1	BCL2 interacting protein 1	Apoptosis	0.0782892	0.709687
sample2_user	BNIP3	BCL2 interacting protein 3	Apoptosis	0.136767	0.154737
sample2_user	BNIP3L	BCL2 interacting protein 3 like	Apoptosis	0.176965	0.173327
sample2_user	BOK	BCL2 family apoptosis regulator BOK	Apoptosis	0.821035	0.0191781
sample2_user	CASP2	caspase 2	Apoptosis	-0.126739	0.541304
sample2_user	CASP3	caspase 3	Apoptosis	-0.152511	0.466348
sample2_user	CASP7	caspase 7	Apoptosis	0.153674	0.580728
sample2_user	CASP8	caspase 8	Apoptosis	0.81594	0.0197089
sample2_user	CASP9	caspase 9	Apoptosis	0.0773993	0.742915
sample2_user	CLIC4	chloride intracellular channel 4	Apoptosis	-0.216193	0.072206
sample2_user	CTSB	cathepsin B	Apoptosis	-0.0654043	0.650264
sample2_user	DELE1	DAP3 binding cell death enhancer 1	Apoptosis	0.213138	0.189354
sample2_user	DIABLO	diablo IAP-binding mitochondrial protein	Apoptosis	0.0929213	0.34953
sample2_user	FAM162A	family with sequence similarity 162 member A	Apoptosis	-0.0193745	0.884988
sample2_user	GFER	growth factor, augmenter of liver regeneration	Apoptosis	0.13214	0.349326
sample2_user	GHITM	growth hormone inducible transmembrane protein	Apoptosis	0.0590186	0.596657
sample2_user	HTRA2	HtrA serine peptidase 2	Apoptosis	0.175517	0.19565
sample2_user	LETMD1	LETM1 domain containing 1	Apoptosis	0.144023	0.243777
sample2_user	MAPK1	mitogen-activated protein kinase 1	Apoptosis	0.135842	0.454975
sample2_user	MAPK3	mitogen-activated protein kinase 3	Apoptosis	-0.225814	0.0979292
sample2_user	MAPK8	mitogen-activated protein kinase 8 	Apoptosis	-0.179112	0.295727
sample2_user	MCL1	MCL1 apoptosis regulator, BCL2 family member	Apoptosis	-0.622091	0.000327968
sample2_user	MTCH1	mitochondrial carrier 1	Apoptosis	0.130043	0.102621
sample2_user	MTCH2	mitochondrial carrier 2	Apoptosis	0.108806	0.284591
sample2_user	PACRG	parkin coregulated	Apoptosis	-0.152035	0.808045
sample2_user	PARL	presenilin associated rhomboid like	Apoptosis	-0.139199	0.202825
sample2_user	PRELID1	PRELI domain containing 1	Apoptosis	0.306156	0.0794435
sample2_user	RPS6KB1	ribosomal protein S6 kinase B1	Apoptosis	-0.0339704	0.812139
sample2_user	TRAP1	TNF receptor associated protein 1	Apoptosis	-0.17026	0.110906
sample2_user	TSPO	translocator protein	Apoptosis	0.22264	0.502337
sample2_user	XIAP	X-linked inhibitor of apoptosis	Apoptosis	0.203448	0.0863617
sample2_user	AMACR	alpha-methylacyl-CoA racemase	Bile Acid Synthesis	0.304819	0.0301949
sample2_user	STAR	steroidogenic acute regulatory protein	Bile Acid Synthesis	0.269572	0.117464
sample2_user	CCDC90B	coiled-coil domain containing 90B	Calcium Signaling & Transport	0.331417	0.020158
sample2_user	EFHD1	EF-hand domain family member D1	Calcium Signaling & Transport	0.0180227	0.942864
sample2_user	HINT2	histidine triad nucleotide binding protein 2	Calcium Signaling & Transport	0.141592	0.26425
sample2_user	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	Calcium Signaling & Transport	-0.309301	0.15894
sample2_user	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	Calcium Signaling & Transport	0.258745	0.249565
sample2_user	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	Calcium Signaling & Transport	0.196483	0.393838
